Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
4/1/1972,54,1266.4,5365.045,209637.3,273.6,0,0,0,0,0,209.6373,7.346923077,386.9,660.5,318894,17.709,23.621,18428,1350.044452,75.642885,66.532618,495.6,3.06,0.585768357,58.57683573,0.589026697,58.90266975,0.578081606,57.80816065,475.7,280.2,468.1,270.6,588147,0.56937799
7/1/1972,55,1290.6,5415.712,210180.7,267.2,0,0,0,0,0,210.1807,7.406153846,370.9,638.1,319052,18.006,23.835,20333,1338.586113,-11.458339,68.598767,543.4,3.06,0.581256856,58.12568563,0.579468378,57.94683776,0.561842583,56.18425825,545.5,316.1,551.4,309.8,588147,0.56937799
10/1/1972,56,1328.9,5506.396,210736.7,265.1,0,0,0,0,0,210.7367,7.430769231,287.6,552.7,341962,18.559,24.105,19261,1418.635138,80.049025,82.208947,556,3.06,0.520354623,52.03546228,0.59417122,59.41712204,0.559824369,55.98243688,549,326.2,546.6,306,588147,0.56937799
1/1/1973,57,1377.5,5642.669,211192.3,228.8,0,0,0,0,0,211.1923,7.446153846,255.8,484.6,333807,18.801,24.412,16887,1367.388989,-51.246149,92.987422,455.6,3.01,0.527858027,52.78580272,0.578081606,57.80816065,0.581773952,58.17739521,468.1,270.6,534.4,310.9,605548,0.597156398
4/1/1973,58,1413.9,5704.098,211663,274.7,0,0,0,0,0,211.663,7.65,366.9,641.6,354356,19.275,24.816,20452,1427.933591,60.544602,77.889139,470.7,3.01,0.571851621,57.18516209,0.561842583,56.18425825,0.503039144,50.30391442,551.4,309.8,411.3,206.9,605548,0.597156398
7/1/1973,59,1433.8,5674.1,212191.3,242.2,0,0,0,0,0,212.1913,8.456923077,306,548.2,354349,19.931,25.29,22034,1401.142744,-26.790847,62.556631,528.3,3.01,0.558190441,55.81904414,0.559824369,55.98243688,0.540656852,54.06568516,546.6,306,441.5,238.7,605548,0.597156398
10/1/1973,60,1476.3,5727.96,212708,167.5,0,0,0,0,0,212.708,8.626153846,203.3,370.8,382865,20.277,25.728,18949,1488.125777,86.983033,69.490639,516.7,3.01,0.548274002,54.82740022,0.581773952,58.17739521,0.568476039,56.84760391,534.4,310.9,440.3,250.3,605548,0.597156398
1/1/1974,61,1491.2,5678.713,213144,140.9,0,0,0,0,1,213.144,8.462307692,177.8,318.7,361840,20.738,26.249,14866,1378.490609,-109.635168,11.10162,436,2.97,0.557891434,55.7891434,0.503039144,50.30391442,0.561552595,56.15525953,411.3,206.9,435.4,244.5,615191,0.610328638
4/1/1974,62,1530.1,5692.21,213602.3,158.3,0,0,0,0,1,213.6023,8.886923077,297.8,456.1,384120,21.228,26.832,18593,1431.57424,53.083631,3.640649,458.3,2.97,0.65292699,65.29269897,0.540656852,54.06568516,0.567120623,56.71206226,441.5,238.7,308.4,174.9,615191,0.610328638
7/1/1974,63,1560,5638.411,214147,92.1,0,0,0,0,1,214.147,9.606153846,243.9,336,385975,21.908,27.659,20272,1395.47706,-36.09718,-5.665684,544.7,2.97,0.725892857,72.58928571,0.568476039,56.84760391,0.639948287,63.9948287,440.3,250.3,309.4,198,615191,0.610328638
10/1/1974,64,1599.7,5616.526,214699.7,58.5,0,0,0,0,1,214.6997,9.793076923,168.4,226.9,413310,22.498,28.498,15736,1450.312303,54.835243,-37.813474,552.7,2.97,0.742177171,74.21771706,0.561552595,56.15525953,0.715978041,71.5978041,435.4,244.5,346.1,247.8,615191,0.610328638
1/1/1975,65,1616.1,5548.156,215135.3,48.7,0,0,0,0,1,215.1353,9.168461538,142.3,191,391688,23.073,29.142,12313,1344.066982,-106.245321,-34.423627,435.6,2.94,0.745026178,74.5026178,0.567120623,56.71206226,0.719705549,71.97055493,308.4,174.9,353.2,254.2,617349,0.618604651
4/1/1975,66,1651.9,5587.8,215651.7,63.4,0,0,0,0,1,215.6517,8.875384615,260.9,324.3,414253,23.474,29.565,16931,1401.160156,57.093174,-30.414084,516.4,2.94,0.804502004,80.45020043,0.639948287,63.9948287,0.725302061,72.53020611,309.4,198,281.4,204.1,617349,0.618604651
7/1/1975,67,1709.8,5683.444,216289.3,80.5,0,0,0,0,1,216.2893,8.983846154,268,348.5,423323,23.692,30.087,19678,1406.996377,5.836221,11.519317,637.6,2.94,0.769010043,76.9010043,0.715978041,71.5978041,0.734322932,73.43229324,346.1,247.8,330.1,242.4,617349,0.618604651
10/1/1975,68,1761.8,5759.972,216847.7,75.6,0,0,0,0,1,216.8477,9.160769231,221,296.6,455641,24.12,30.59,17812,1489.509644,82.513267,39.197341,558.4,2.94,0.745111261,74.5111261,0.719705549,71.97055493,0.772972973,77.2972973,353.2,254.2,370,286,617349,0.618604651
